,country,date,annualCPI,annualPS,cid
0,ARGENTINA,2007-11-01,,,ARGENTINA
1,ARGENTINA,2007-11-02,,,ARGENTINA
2,ARGENTINA,2007-11-03,,,ARGENTINA
3,ARGENTINA,2007-11-04,,,ARGENTINA
4,ARGENTINA,2007-11-05,,,ARGENTINA
5,ARGENTINA,2007-11-06,,,ARGENTINA
6,ARGENTINA,2007-11-07,,,ARGENTINA
7,ARGENTINA,2007-11-08,,,ARGENTINA
8,ARGENTINA,2007-11-09,,,ARGENTINA
9,ARGENTINA,2007-11-10,,,ARGENTINA
10,ARGENTINA,2007-11-11,,,ARGENTINA
11,ARGENTINA,2007-11-12,,,ARGENTINA
12,ARGENTINA,2007-11-13,,,ARGENTINA
13,ARGENTINA,2007-11-14,,,ARGENTINA
14,ARGENTINA,2007-11-15,,,ARGENTINA
15,ARGENTINA,2007-11-16,,,ARGENTINA
16,ARGENTINA,2007-11-17,,,ARGENTINA
17,ARGENTINA,2007-11-18,,,ARGENTINA
18,ARGENTINA,2007-11-19,,,ARGENTINA
19,ARGENTINA,2007-11-20,,,ARGENTINA
20,ARGENTINA,2007-11-21,,,ARGENTINA
21,ARGENTINA,2007-11-22,,,ARGENTINA
22,ARGENTINA,2007-11-23,,,ARGENTINA
23,ARGENTINA,2007-11-24,,,ARGENTINA
24,ARGENTINA,2007-11-25,,,ARGENTINA
25,ARGENTINA,2007-11-26,,,ARGENTINA
26,ARGENTINA,2007-11-27,,,ARGENTINA
27,ARGENTINA,2007-11-28,,,ARGENTINA
28,ARGENTINA,2007-11-29,,,ARGENTINA
29,ARGENTINA,2007-11-30,,,ARGENTINA
30,ARGENTINA,2007-12-01,,,ARGENTINA
31,ARGENTINA,2007-12-02,,,ARGENTINA
32,ARGENTINA,2007-12-03,,,ARGENTINA
33,ARGENTINA,2007-12-04,,,ARGENTINA
34,ARGENTINA,2007-12-05,,,ARGENTINA
35,ARGENTINA,2007-12-06,,,ARGENTINA
36,ARGENTINA,2007-12-07,,,ARGENTINA
37,ARGENTINA,2007-12-08,,,ARGENTINA
38,ARGENTINA,2007-12-09,,,ARGENTINA
39,ARGENTINA,2007-12-10,,,ARGENTINA
40,ARGENTINA,2007-12-11,,,ARGENTINA
41,ARGENTINA,2007-12-12,,,ARGENTINA
42,ARGENTINA,2007-12-13,,,ARGENTINA
43,ARGENTINA,2007-12-14,,,ARGENTINA
44,ARGENTINA,2007-12-15,,,ARGENTINA
45,ARGENTINA,2007-12-16,,,ARGENTINA
46,ARGENTINA,2007-12-17,,,ARGENTINA
47,ARGENTINA,2007-12-18,,,ARGENTINA
48,ARGENTINA,2007-12-19,,,ARGENTINA
49,ARGENTINA,2007-12-20,,,ARGENTINA
50,ARGENTINA,2007-12-21,,,ARGENTINA
51,ARGENTINA,2007-12-22,,,ARGENTINA
