"sigma.hat","GARCH","Frequency","MSE","QLIKE"
0.0052598281087087,"sGARCH","Day",7.09344251497439e-10,-10.4580015646241
0.00513385851302015,"sGARCH","Day",6.26703505760957e-10,-10.4936198000388
0.00500383297175357,"sGARCH","Day",8.08746708663508e-11,-9.23593163598177
0.00510906137670036,"sGARCH","Day",3.93778786107199e-10,-10.3137072499299
0.00501160629002733,"sGARCH","Day",6.17838667232473e-10,-10.5816522051283
0.00487877186265374,"sGARCH","Day",4.00654314875778e-10,-10.4866613492202
0.00476729048332545,"sGARCH","Day",2.96336212312432e-10,-8.9345127744927
0.00494077389791604,"sGARCH","Day",1.58588742052707e-11,-9.78360125174921
0.00495537342656848,"sGARCH","Day",5.74324458069595e-10,-10.5905117080068
0.00481527586055687,"sGARCH","Day",5.06048163983083e-10,-10.6421067119886
0.0046919933170174,"sGARCH","Day",1.02947561207552e-10,-10.1846812750722
0.00465806482880272,"sGARCH","Day",1.76820125771661e-10,-10.3511612265022
0.00459949971619372,"sGARCH","Day",3.55698187277082e-11,-9.48169953694024
0.00468755303554713,"sGARCH","Day",1.01189938274939e-10,-10.1834896617376
0.00465419387810875,"sGARCH","Day",2.21814806851414e-09,-7.56573889947722
0.00503912416764441,"sGARCH","Day",8.86458179477769e-09,-5.87322287313426
0.00569484150779189,"sGARCH","Day",1.00312719583384e-09,-10.3129845250124
0.00553591140029442,"sGARCH","Day",8.8938979618196e-10,-10.3661212921556
0.00539253870669871,"sGARCH","Day",2.70809403722469e-13,-9.42758244225255
0.00543183362565794,"sGARCH","Day",3.0675518391243e-10,-8.83734453645784
0.00558609475442636,"sGARCH","Day",2.48086862706822e-13,-9.39091162330924
0.0056185541054074,"sGARCH","Day",8.01784602754874e-10,-10.260335574055
0.0054733075697206,"sGARCH","Day",8.62554376472035e-10,-10.3961222895385
0.00533079670126282,"sGARCH","Day",7.89409339287712e-10,-10.4572145161244
0.0051768543470052,"sGARCH","Day",5.9784950533042e-10,-10.4394707481035
